XR_003076414.1	SMKR1
XM_015282528.2	NRF1
NM_001030646.1	NRF1
XM_015282586.2	NRF1
XM_015282649.2	NRF1
XM_015282467.2	NRF1
XM_015282417.2	NRF1
XM_015282728.2	NRF1
XM_015282685.2	NRF1
XM_015282769.2	NRF1
XM_015282829.2	NRF1
XM_025147172.1	NRF1
NR_035006.1	MIR183
NM_001030647.1	UBE2H
NM_001199437.1	ZC3HC1
NR_105545.1	MIR6676
XM_004937414.3	KLHDC10
XM_425257.6	KLHDC10
NR_105497.1	MIR6629
XM_015287382.2	LOC100859230
XM_414977.5	TMEM209
XM_015283109.2	CPA2
XM_015283148.2	CPA2
NM_001257214.1	CPA2
NM_001252256.1	CPA5
NM_204584.1	CPA1
NM_001199393.1	CEP41
XM_015283356.2	CEP41
XM_015283402.2	CEP41
XM_015287224.2	MEST
XM_425258.6	MEST
XM_015287114.2	MEST
XM_025153109.1	MEST
XM_015287185.2	MEST
XM_015286982.2	COPG2
XM_414981.6	COPG2
XM_025153116.1	IL15RA
XM_025153118.1	IL15RA
XM_015286743.2	IL15RA
XM_015286682.2	IL15RA
XM_015283532.2	FBXO18
XM_015283696.2	FBXO18
XM_015283640.2	FBXO18
XM_015283583.2	FBXO18
NM_001080210.1	FBXO18
XM_015283838.2	ANKRD16
XM_025147208.1	ANKRD16
XM_015283965.1	ANKRD16
XR_001465834.1	ANKRD16
XR_001465821.1	ANKRD16
XM_015283797.2	ANKRD16
XM_015283885.2	ANKRD16
NM_001199314.1	ANKRD16
NM_205004.1	GDI2
XM_025153139.1	FAM208B
XR_001466553.2	FAM208B
XM_025153130.1	FAM208B
XM_414985.6	FAM208B
XR_001466544.2	FAM208B
XM_025153141.1	FAM208B
XR_001466634.2	LOC107053421
XR_001466624.2	LOC107053421
XM_015284112.2	ASB13
NM_001199294.1	ASB13
NM_001081697.2	CALML3
XM_015284280.1	NET1
NM_001030648.1	NET1
XM_015284331.2	NET1
XR_003076470.1	LOC101748925
XR_001466513.2	LOC101748925
NM_001277351.1	TUBAL3
XM_414991.3	LOC416695
XM_001231710.4	UCN3
XM_015286002.2	COL7A1L
XM_025153153.1	COL7A1L
XM_025153151.1	COL7A1L
NR_031462.1	MIR205B
XM_414994.6	SLC35B4
XM_015285659.2	LRGUK
XM_015285553.2	LRGUK
XM_025153161.1	LRGUK
XM_414995.6	LRGUK
XM_025153166.1	LRGUK
XR_003076488.1	LRGUK
XR_003076491.1	LRGUK
XR_001466415.2	LRGUK
XR_001466403.2	LRGUK
NM_001199320.1	EXOC4
XM_025147234.1	EXOC4
XM_025153190.1	LOC101750035
XM_015284962.2	LOC101750035
XM_025153230.1	LOC107055493
XM_025153235.1	LOC101747803
XM_025153202.1	LOC107053233
XM_025153211.1	LOC112532918
XM_025153217.1	LOC112532918
XM_025153223.1	LOC107055494
XM_025153221.1	LOC107055494
XM_025153226.1	LOC100858111
XR_003076504.1	LOC101749355
NR_105528.1	MIR6659
XM_015284540.1	EXOC4
XM_025153246.1	LOC107053701
XM_015288855.2	LOC107053701
XR_003076548.1	LOC112532931
XM_015292450.2	CHCHD3
XM_416646.6	CHCHD3
XM_015292492.2	CHCHD3
XM_004937457.3	CHCHD3
XR_003076536.1	LOC101750196
XM_025153254.1	LOC107054205
XM_015292142.2	LOC107054205
XR_003076509.1	LOC101748467
XR_003076510.1	LOC101748467
XM_025153250.1	LOC101748467
XM_025153252.1	LOC101748467
XM_015292278.2	LOC107054228
XR_003076533.1	LOC107054320
XR_001468222.2	LOC107054192
XM_015291976.2	PLXNA4
XM_015291861.2	PLXNA4
XM_015291915.2	PLXNA4
XM_025153278.1	PLXNA4
XM_015291826.2	PLXNA4
NR_105490.1	MIR6621
XM_015293109.2	LOC101750753
XM_025153822.1	LOC107054375
XM_015292881.1	LOC107054362
XM_015292802.2	LOC101752068
XM_015289559.2	PODXL
XM_015289512.2	PODXL
XM_015289480.2	PODXL
NM_001271894.1	PODXL
XM_025149112.1	MKLN1
XM_025149108.1	MKLN1
NM_001030773.1	MKLN1
XR_001468078.2	LOC101750931
XR_001468077.2	LOC101750931
XR_003076575.1	LOC107055713
XR_003076573.1	LOC107055713
NR_031392.1	MIR29B1
NR_031391.1	MIR29A
XM_015289921.2	K123
XM_015289879.2	K123
NM_205019.2	K123
XM_025145275.1	K123
NM_204596.1	IL2RA
XM_015291502.2	RBM17
XM_015291341.2	RBM17
XM_025153301.1	RBM17
XM_004937469.3	RBM17
XM_004937468.3	RBM17
XM_416473.6	RBM17
XM_015291059.2	PFKFB3
